SDate,PFIZER_High,PFIZER_Low,PFIZER_Open,PFIZER_Close,PFIZER_Volume,PFIZER_Adj Close,PFIZER_VARIATION,ASTRAZENECA_High,ASTRAZENECA_Low,ASTRAZENECA_Open,ASTRAZENECA_Close, ASTRAZENECA_Volume ,ASTRAZENECA_Adj Close,ASTRAZENECA_VARIATION,BIONTECH_High,BIONTECH_Low,BIONTECH_Open,BIONTECH_Close,BIONTECH_Volume,BIONTECH_Adj Close,BIONTECH_VARIATION,MODERNA_High,MODERNA_Low,MODERNA_Open,MODERNA_Close,MODERNA_Volume,MODERNA_Adj Close,MODERNA_VARIATION,NOVAVAX_High,NOVAVAX_Low,NOVAVAX_Open,NOVAVAX_Close,NOVAVAX_Volume,NOVAVAX_Adj Close,NOVAVAX_VARIATION
14/02/2020,35.14231491,34.55408096,35.07590103,34.63946915,21006747,33.61994171,-0.436431885,48.22000122,47.40000153,48.18999863,47.84999847," 6,665,400.00 ",46.52249146,-0.340000153,31.56999969,29.71999931,31,30.75,128700,30.75,-0.25,19.29000092,18.85000038,19.27000046,19,5384500,19,-0.270000458,8.079999924,7.320000172,8.050000191,7.679999828,2732800,7.679999828,-0.370000362
18/02/2020,34.79127121,34.41176605,34.67741776,34.45920181,17988513,33.44497681,-0.218215942,49.25999832,48.59000015,48.95999908,49.11000061," 3,927,900.00 ",47.74753571,0.150001526,31.54000092,30.26000023,30.48999977,31.54000092,66200,31.54000092,1.050001144,19.35000038,18.56999969,19.13999939,18.90999985,4121900,18.90999985,-0.229999542,8.180000305,7.559999943,7.690000057,7.989999771,2577100,7.989999771,0.299999714
19/02/2020,34.62998199,34.35483932,34.53510284,34.37381363,17750941,33.36210632,-0.161289215,49.56000137,49.06000137,49.36000061,49.31000137," 3,269,000.00 ",47.94198608,-0.049999237,32.29000092,30.75,31.5,32.25,253800,32.25,0.75,19.23999977,18.72500038,19.09000015,18.92000008,3148000,18.92000008,-0.170000076,8.029999733,7.630000114,7.860000134,7.949999809,2132000,7.949999809,0.089999676
20/02/2020,34.21252441,33.5958252,33.88045502,34.01328278,42953135,33.01218414,0.132827759,49.18000031,48.65999985,48.88000107,48.93999863," 3,000,200.00 ",47.58224869,0.059997559,32.58000183,31.00499916,31.71999931,32.38000107,152200,32.38000107,0.660001755,19.17000008,18.42000008,18.86000061,18.54000092,4562200,18.54000092,-0.319999695,8.06000042,7.760000229,7.880000114,7.940000057,2355000,7.940000057,0.059999943
21/02/2020,33.98482132,33.70967865,33.92789459,33.88994217,32425256,32.89247131,-0.037952423,50.25,49.68000031,49.88000107,50.16999817," 4,105,800.00 ",48.77812195,0.289997101,32.45999908,31.27000046,31.79999924,32.34999847,158700,32.34999847,0.549999237,18.54999924,17.90999985,18.46999931,18.22999954,3651100,18.22999954,-0.239999771,7.940000057,7.630000114,7.869999886,7.71999979,1804300,7.71999979,-0.150000095
24/02/2020,33.58633804,32.82732391,33.24478149,32.89373779,37969296,31.92559242,-0.351043701,48.70000076,47.59000015,48.25,47.59000015," 4,537,600.00 ",46.26970291,-0.659999847,31.10000038,29.13999939,30,30.60000038,148400,30.60000038,0.600000381,19.28000069,18.29999924,19.22999954,18.59000015,7605400,18.59000015,-0.63999939,8.5,7.929999828,8.31000042,8.159999847,5044200,8.159999847,-0.150000572
25/02/2020,32.96015167,31.9829216,32.90322495,32.19165039,41878898,31.24416542,-0.711574554,48.09999847,46.68999863,48.06999969,47.08000183," 4,347,100.00 ",45.7738533,-0.989997864,33.95999908,30,30,33.43999863,201500,33.43999863,3.439998627,26.54999924,20.51000023,22.14999962,23.76000023,65001900,23.76000023,1.61000061,8.300000191,7.699999809,8.210000038,7.949999809,2947800,7.949999809,-0.260000229
26/02/2020,33.40607071,32.27703857,32.48576736,32.94117737,47920005,31.97163391,0.455410004,47.97999954,47.27000046,47.52000046,47.56999969," 3,900,300.00 ",46.2502594,0.049999237,34.38999939,31.54999924,31.85000038,33.75,213300,33.75,1.899999619,29.97999954,27.07999992,29.04999924,29.15999985,76444500,29.15999985,0.11000061,11.21000004,8.319999695,8.649999619,9.220000267,24614800,9.220000267,0.570000648
27/02/2020,33.88045502,32.35293961,32.67552185,32.35293961,55444827,31.40070915,-0.322582245,46.5,45.04999924,46.38999939,45.06999969," 4,055,800.00 ",44.71255112,-1.319999695,33.97000122,31.04899979,31.45000076,33.88000107,112400,33.88000107,2.430000305,36,23.04999924,35.88000107,26.15999985,68256300,26.15999985,-9.720001221,11.88000011,9.800000191,11.10000038,11.80000019,27547100,11.80000019,0.699999809
28/02/2020,32.20113754,30.86337852,31.77419472,31.70778084,66071993,30.77453995,-0.066413879,44.06999969,42.95999908,43.68999863,43.79999924," 5,656,500.00 ",43.45262527,0.11000061,35.09999847,32.84999847,33.40000153,35.09999847,234400,35.09999847,1.699996948,25.95000076,22.01499939,23.37999916,25.93000031,24253700,25.93000031,2.550001144,17.70999908,12.72000027,14.93999958,16,36373200,16,1.06000042
